,City,Country,Date,Latitude,Longitude,Temperature,Humidity,Wind speed,Cloudliness
352,Nicoya,CR,1514084400,10.15,-85.45,80.6,61,23.04,0
353,Kahului,US,1514084160,20.89,-156.47,75.2,64,13.87,20
354,Ambulu,ID,1514087876,-8.35,113.61,82.48,100,9.66,48
355,Goundam,ML,1514087877,16.42,-3.66,52.64,62,12.57,0
356,Ancud,CL,1514087878,-41.87,-73.83,49.0,83,3.85,68
357,Nalut,LY,1514087878,31.86,10.98,42.07,95,5.53,68
358,Port Alfred,ZA,1514087728,-33.59,26.89,63.04,100,4.85,8
359,Sampit,ID,1514087879,-2.54,112.95,86.8,88,6.31,0
360,West Bay,KY,1514084400,19.37,-81.42,78.8,88,11.41,20
361,Ust-Tsilma,RU,1514087881,65.44,52.15,18.76,90,3.24,88
362,Mujiayingzi,CN,1514087883,42.12,118.78,16.15,57,5.93,76
363,Hirado,JP,1514084400,33.32,129.49,55.4,71,10.29,75
364,Bucerias,MX,1514083380,20.76,-105.33,73.4,100,9.17,5
365,Gobabis,NA,1514084400,-22.45,18.97,68.0,82,1.12,64
366,Souillac,MU,1514084400,-20.52,57.52,75.2,94,4.7,75
367,Buraydah,SA,1514084400,26.33,43.97,50.0,67,6.93,0
368,Tocache,PE,1514087885,-8.19,-76.51,60.74,96,1.28,56
